# iteration  l2_NN  l2_FF  l2_mFF
1.740000e+04 1.321989e-01 2.413121e-01 1.518373e-01
1.750000e+04 1.329302e-01 2.432868e-01 1.511348e-01
1.760000e+04 1.288358e-01 2.430767e-01 1.534100e-01
1.770000e+04 1.340052e-01 2.425595e-01 1.512985e-01
1.780000e+04 1.262002e-01 2.432553e-01 1.497167e-01
1.790000e+04 1.245194e-01 2.417623e-01 1.495390e-01
1.800000e+04 1.220709e-01 2.426106e-01 1.486036e-01
1.810000e+04 1.181601e-01 2.411917e-01 1.456465e-01
1.820000e+04 1.286409e-01 2.404870e-01 1.491771e-01
1.830000e+04 1.232189e-01 2.402387e-01 1.477055e-01
1.840000e+04 1.100760e-01 2.402988e-01 1.482013e-01
1.850000e+04 1.222713e-01 2.392522e-01 1.479523e-01
1.860000e+04 1.110901e-01 2.398716e-01 1.486181e-01
1.870000e+04 1.213515e-01 2.385204e-01 1.430748e-01
1.880000e+04 1.237990e-01 2.394962e-01 1.444857e-01
1.890000e+04 1.264546e-01 2.399923e-01 1.443376e-01
1.900000e+04 1.186795e-01 2.380469e-01 1.410757e-01
1.910000e+04 1.150280e-01 2.380393e-01 1.420693e-01
1.920000e+04 1.176456e-01 2.373914e-01 1.445721e-01
1.930000e+04 1.154848e-01 2.380119e-01 1.446610e-01
1.940000e+04 1.170742e-01 2.369254e-01 1.444690e-01
1.950000e+04 1.048564e-01 2.356036e-01 1.414320e-01
1.960000e+04 1.203310e-01 2.369229e-01 1.438578e-01
1.970000e+04 1.147386e-01 2.365501e-01 1.428334e-01
1.980000e+04 1.201644e-01 2.366989e-01 1.422305e-01
1.990000e+04 1.199642e-01 2.355412e-01 1.399254e-01
2.000000e+04 1.092343e-01 2.366690e-01 1.409781e-01
2.010000e+04 1.020555e-01 2.347389e-01 1.425922e-01
2.020000e+04 1.082336e-01 2.359776e-01 1.408537e-01
2.030000e+04 1.077875e-01 2.347194e-01 1.404442e-01
2.040000e+04 1.004272e-01 2.353951e-01 1.388155e-01
2.050000e+04 1.179461e-01 2.347608e-01 1.403850e-01
2.060000e+04 1.042017e-01 2.343371e-01 1.383904e-01
2.070000e+04 1.008791e-01 2.338900e-01 1.384027e-01
2.080000e+04 1.060699e-01 2.342643e-01 1.367222e-01
2.090000e+04 9.958973e-02 2.345038e-01 1.354871e-01
2.100000e+04 9.598840e-02 2.330392e-01 1.361200e-01
2.110000e+04 9.799546e-02 2.330746e-01 1.378830e-01
2.120000e+04 1.009720e-01 2.325918e-01 1.368225e-01
2.130000e+04 1.018934e-01 2.322489e-01 1.381767e-01
2.140000e+04 1.062947e-01 2.328710e-01 1.361749e-01
2.150000e+04 9.897902e-02 2.316803e-01 1.357829e-01
2.160000e+04 1.059569e-01 2.317505e-01 1.342725e-01
2.170000e+04 9.924736e-02 2.319752e-01 1.343056e-01
2.180000e+04 9.621273e-02 2.318788e-01 1.338351e-01
2.190000e+04 1.032305e-01 2.302471e-01 1.343903e-01
2.200000e+04 9.810445e-02 2.311289e-01 1.329135e-01
2.210000e+04 9.796701e-02 2.303346e-01 1.333478e-01
2.220000e+04 9.892805e-02 2.300747e-01 1.329138e-01
2.230000e+04 9.289462e-02 2.307577e-01 1.329935e-01
2.240000e+04 9.905175e-02 2.304267e-01 1.314976e-01
2.250000e+04 1.009968e-01 2.316048e-01 1.317529e-01
2.260000e+04 9.816085e-02 2.318192e-01 1.314438e-01
2.270000e+04 1.020483e-01 2.295468e-01 1.302804e-01
2.280000e+04 9.547746e-02 2.294924e-01 1.309715e-01
2.290000e+04 9.798703e-02 2.297398e-01 1.306550e-01
2.300000e+04 9.245879e-02 2.288743e-01 1.289376e-01
2.310000e+04 9.793775e-02 2.287785e-01 1.294857e-01
2.320000e+04 9.726047e-02 2.283193e-01 1.302689e-01
2.330000e+04 9.844459e-02 2.282486e-01 1.275468e-01
2.340000e+04 9.961212e-02 2.282325e-01 1.305168e-01
2.350000e+04 9.334562e-02 2.277247e-01 1.284872e-01
2.360000e+04 9.222260e-02 2.283121e-01 1.264641e-01
2.370000e+04 9.351193e-02 2.276373e-01 1.291491e-01
2.380000e+04 9.559779e-02 2.268298e-01 1.281752e-01
2.390000e+04 9.332188e-02 2.276580e-01 1.278615e-01
2.400000e+04 9.215866e-02 2.270198e-01 1.273002e-01
2.410000e+04 9.067786e-02 2.267152e-01 1.263531e-01
2.420000e+04 9.189665e-02 2.277287e-01 1.268525e-01
2.430000e+04 9.429398e-02 2.270294e-01 1.267832e-01
2.440000e+04 9.032455e-02 2.258757e-01 1.257696e-01
2.450000e+04 9.064407e-02 2.257793e-01 1.264113e-01
2.460000e+04 9.031118e-02 2.252469e-01 1.243313e-01
2.470000e+04 9.164771e-02 2.257276e-01 1.251748e-01
2.480000e+04 8.920706e-02 2.253965e-01 1.238314e-01
2.490000e+04 9.050644e-02 2.251199e-01 1.247405e-01
2.500000e+04 9.153305e-02 2.247128e-01 1.230696e-01
2.510000e+04 9.105891e-02 2.247117e-01 1.239941e-01
2.520000e+04 9.414840e-02 2.236050e-01 1.231044e-01
2.530000e+04 8.939251e-02 2.240436e-01 1.236634e-01
2.540000e+04 8.839464e-02 2.235395e-01 1.232260e-01
2.550000e+04 8.884507e-02 2.240441e-01 1.227160e-01
2.560000e+04 8.786207e-02 2.237576e-01 1.234788e-01
2.570000e+04 8.970513e-02 2.229400e-01 1.219303e-01
2.580000e+04 9.454488e-02 2.234633e-01 1.219172e-01
2.590000e+04 8.781854e-02 2.233724e-01 1.207274e-01
2.600000e+04 8.518903e-02 2.223253e-01 1.217853e-01
2.610000e+04 8.775104e-02 2.226393e-01 1.215727e-01
2.620000e+04 9.274877e-02 2.218880e-01 1.212784e-01
2.630000e+04 8.486848e-02 2.223714e-01 1.216542e-01
2.640000e+04 9.015696e-02 2.229816e-01 1.208623e-01
2.650000e+04 8.844119e-02 2.223899e-01 1.196127e-01
2.660000e+04 8.581146e-02 2.215669e-01 1.199525e-01
2.670000e+04 8.755856e-02 2.219224e-01 1.205603e-01
2.680000e+04 8.770186e-02 2.214243e-01 1.191367e-01
2.690000e+04 8.709444e-02 2.218436e-01 1.197051e-01
2.700000e+04 8.465633e-02 2.215089e-01 1.184107e-01
2.710000e+04 8.535005e-02 2.216868e-01 1.175204e-01
2.720000e+04 8.659243e-02 2.215147e-01 1.187452e-01
2.730000e+04 8.313246e-02 2.214600e-01 1.187350e-01
2.740000e+04 8.346893e-02 2.203604e-01 1.187641e-01
2.750000e+04 8.376212e-02 2.201430e-01 1.191535e-01
2.760000e+04 8.430316e-02 2.204166e-01 1.179254e-01
2.770000e+04 8.460822e-02 2.205889e-01 1.183026e-01
2.780000e+04 8.629787e-02 2.208233e-01 1.177486e-01
2.790000e+04 8.346146e-02 2.196759e-01 1.163733e-01
2.800000e+04 8.432490e-02 2.201391e-01 1.166790e-01
2.810000e+04 8.353092e-02 2.196428e-01 1.152381e-01
2.820000e+04 8.407732e-02 2.195455e-01 1.173935e-01
2.830000e+04 8.516704e-02 2.191894e-01 1.176967e-01
2.840000e+04 8.338725e-02 2.183738e-01 1.162953e-01
2.850000e+04 8.058320e-02 2.189144e-01 1.150228e-01
2.860000e+04 8.251032e-02 2.187973e-01 1.173605e-01
2.870000e+04 8.411294e-02 2.182249e-01 1.145494e-01
2.880000e+04 8.121919e-02 2.179791e-01 1.154111e-01
2.890000e+04 8.415382e-02 2.182246e-01 1.156374e-01
2.900000e+04 8.604045e-02 2.183756e-01 1.152503e-01
2.910000e+04 8.331936e-02 2.179245e-01 1.147057e-01
2.920000e+04 8.162658e-02 2.180808e-01 1.135863e-01
2.930000e+04 7.872763e-02 2.174414e-01 1.139090e-01
2.940000e+04 8.092551e-02 2.179271e-01 1.147508e-01
2.950000e+04 8.082342e-02 2.170276e-01 1.151421e-01
2.960000e+04 7.966617e-02 2.168079e-01 1.135280e-01
2.970000e+04 8.162072e-02 2.168179e-01 1.135185e-01
2.980000e+04 8.249704e-02 2.168206e-01 1.126509e-01
2.990000e+04 8.159947e-02 2.170348e-01 1.133558e-01
3.000000e+04 8.076711e-02 2.165047e-01 1.120908e-01
3.010000e+04 8.123433e-02 2.165239e-01 1.136544e-01
3.020000e+04 8.148417e-02 2.161883e-01 1.127962e-01
3.030000e+04 7.849393e-02 2.161408e-01 1.123000e-01
3.040000e+04 7.868818e-02 2.160502e-01 1.129455e-01
3.050000e+04 8.042580e-02 2.157974e-01 1.117003e-01
3.060000e+04 7.952213e-02 2.159115e-01 1.131938e-01
3.070000e+04 8.067895e-02 2.150413e-01 1.118341e-01
3.080000e+04 7.973376e-02 2.154897e-01 1.123176e-01
3.090000e+04 7.890188e-02 2.157027e-01 1.109374e-01
3.100000e+04 8.086752e-02 2.156727e-01 1.109190e-01
3.110000e+04 7.668808e-02 2.148563e-01 1.110972e-01
3.120000e+04 8.056580e-02 2.149681e-01 1.108527e-01
3.130000e+04 7.787374e-02 2.149520e-01 1.098494e-01
3.140000e+04 8.179259e-02 2.140169e-01 1.104930e-01
3.150000e+04 7.903672e-02 2.141721e-01 1.106409e-01
3.160000e+04 8.017737e-02 2.142303e-01 1.111258e-01
3.170000e+04 7.876670e-02 2.140839e-01 1.094981e-01
3.180000e+04 7.966254e-02 2.137677e-01 1.086872e-01
3.190000e+04 7.824928e-02 2.137205e-01 1.097498e-01
3.200000e+04 7.974451e-02 2.134628e-01 1.095972e-01
3.210000e+04 7.920194e-02 2.135647e-01 1.086878e-01
3.220000e+04 7.880857e-02 2.137208e-01 1.095954e-01
3.230000e+04 8.104385e-02 2.136338e-01 1.099206e-01
3.240000e+04 7.661507e-02 2.133081e-01 1.087491e-01
3.250000e+04 7.875440e-02 2.131340e-01 1.080246e-01
3.260000e+04 7.849554e-02 2.128319e-01 1.078644e-01
3.270000e+04 7.824868e-02 2.130509e-01 1.094362e-01
3.280000e+04 7.720664e-02 2.129714e-01 1.073704e-01
3.290000e+04 7.847876e-02 2.136651e-01 1.084025e-01
3.300000e+04 7.684493e-02 2.130324e-01 1.077612e-01
3.310000e+04 7.836876e-02 2.128951e-01 1.078272e-01
3.320000e+04 7.733519e-02 2.126324e-01 1.088915e-01
3.330000e+04 7.648713e-02 2.124054e-01 1.073363e-01
3.340000e+04 7.780584e-02 2.123129e-01 1.081476e-01
3.350000e+04 7.851777e-02 2.123109e-01 1.069149e-01
3.360000e+04 7.556888e-02 2.121301e-01 1.069772e-01
3.370000e+04 7.727972e-02 2.123097e-01 1.075451e-01
3.380000e+04 7.688851e-02 2.119297e-01 1.070460e-01
3.390000e+04 7.550222e-02 2.118547e-01 1.066089e-01
3.400000e+04 7.804979e-02 2.116883e-01 1.064739e-01
3.410000e+04 7.578511e-02 2.113566e-01 1.062429e-01
3.420000e+04 7.763565e-02 2.108774e-01 1.062267e-01
3.430000e+04 7.573080e-02 2.113184e-01 1.062675e-01
3.440000e+04 7.571455e-02 2.111281e-01 1.061687e-01
3.450000e+04 7.541686e-02 2.109343e-01 1.054926e-01
3.460000e+04 7.639817e-02 2.105708e-01 1.061107e-01
3.470000e+04 7.606918e-02 2.104883e-01 1.052821e-01
3.480000e+04 7.737016e-02 2.108264e-01 1.056907e-01
3.490000e+04 7.738578e-02 2.108685e-01 1.051446e-01
3.500000e+04 7.668638e-02 2.105908e-01 1.052330e-01
3.510000e+04 7.776432e-02 2.102253e-01 1.041802e-01
3.520000e+04 7.767981e-02 2.104151e-01 1.048789e-01
3.530000e+04 7.522388e-02 2.102785e-01 1.050948e-01
3.540000e+04 7.692700e-02 2.102238e-01 1.044229e-01
3.550000e+04 7.557125e-02 2.100621e-01 1.044589e-01
3.560000e+04 7.506862e-02 2.094914e-01 1.042703e-01
3.570000e+04 7.479366e-02 2.101732e-01 1.047935e-01
3.580000e+04 7.536813e-02 2.097494e-01 1.044902e-01
3.590000e+04 7.550988e-02 2.097063e-01 1.049151e-01
3.600000e+04 7.791705e-02 2.095428e-01 1.035319e-01
3.610000e+04 7.446365e-02 2.094060e-01 1.037338e-01
3.620000e+04 7.527036e-02 2.096867e-01 1.041752e-01
3.630000e+04 7.637904e-02 2.095215e-01 1.038339e-01
3.640000e+04 7.539086e-02 2.092998e-01 1.031356e-01
3.650000e+04 7.522711e-02 2.090401e-01 1.039128e-01
3.660000e+04 7.455188e-02 2.089754e-01 1.037827e-01
3.670000e+04 7.575717e-02 2.090095e-01 1.038310e-01
3.680000e+04 7.427549e-02 2.087918e-01 1.036691e-01
3.690000e+04 7.445793e-02 2.086985e-01 1.025915e-01
3.700000e+04 7.479590e-02 2.085583e-01 1.031034e-01
3.710000e+04 7.546706e-02 2.085985e-01 1.025360e-01
3.720000e+04 7.731598e-02 2.086488e-01 1.025552e-01
3.730000e+04 7.590935e-02 2.082682e-01 1.028452e-01
3.740000e+04 7.580867e-02 2.080755e-01 1.029869e-01
3.750000e+04 7.449873e-02 2.083987e-01 1.026572e-01
3.760000e+04 7.489466e-02 2.081262e-01 1.023007e-01
3.770000e+04 7.671439e-02 2.079604e-01 1.024345e-01
3.780000e+04 7.453941e-02 2.082095e-01 1.024778e-01
3.790000e+04 7.670619e-02 2.077306e-01 1.019096e-01
3.800000e+04 7.580142e-02 2.075257e-01 1.022865e-01
3.810000e+04 7.507819e-02 2.075215e-01 1.021880e-01
3.820000e+04 7.436249e-02 2.075891e-01 1.013696e-01
3.830000e+04 7.474265e-02 2.074659e-01 1.017902e-01
3.840000e+04 7.491526e-02 2.073606e-01 1.016373e-01
3.850000e+04 7.566758e-02 2.069331e-01 1.017794e-01
3.860000e+04 7.634627e-02 2.069418e-01 1.016053e-01
3.870000e+04 7.366251e-02 2.070586e-01 1.012751e-01
3.880000e+04 7.444713e-02 2.073788e-01 1.020769e-01
3.890000e+04 7.422334e-02 2.072081e-01 1.013007e-01
3.900000e+04 7.261464e-02 2.069915e-01 1.011464e-01
3.910000e+04 7.516613e-02 2.068045e-01 1.007620e-01
3.920000e+04 7.512586e-02 2.066830e-01 1.009545e-01
3.930000e+04 7.257615e-02 2.066985e-01 1.010224e-01
3.940000e+04 7.334227e-02 2.067249e-01 1.008102e-01
3.950000e+04 7.413605e-02 2.063926e-01 1.009617e-01
3.960000e+04 7.365890e-02 2.064048e-01 1.001746e-01
3.970000e+04 7.451029e-02 2.067180e-01 1.005825e-01
3.980000e+04 7.441208e-02 2.064247e-01 1.003717e-01
3.990000e+04 7.539496e-02 2.062085e-01 1.003874e-01
