# iteration  l2_NN  l2_FF  l2_mFF
2.220000e+04 2.244491e+00 3.523701e-01 2.483611e-03
2.230000e+04 2.175380e+00 3.525803e-01 3.564818e-03
2.240000e+04 2.188821e+00 3.521416e-01 9.615841e-04
2.250000e+04 2.265542e+00 3.518304e-01 5.112615e-03
2.260000e+04 2.186059e+00 3.517718e-01 4.786501e-03
2.270000e+04 2.153266e+00 3.511469e-01 4.261068e-03
2.280000e+04 2.125467e+00 3.513512e-01 1.785379e-03
2.290000e+04 2.153539e+00 3.510766e-01 1.403519e-03
2.300000e+04 2.147651e+00 3.507743e-01 2.977363e-03
2.310000e+04 2.145612e+00 3.500976e-01 2.696327e-03
2.320000e+04 2.132569e+00 3.498936e-01 2.800829e-03
2.330000e+04 2.216076e+00 3.493100e-01 1.805334e-03
2.340000e+04 2.252725e+00 3.492694e-01 3.926729e-03
2.350000e+04 2.245357e+00 3.489972e-01 2.666966e-03
2.360000e+04 2.196578e+00 3.483618e-01 6.556918e-03
2.370000e+04 2.194718e+00 3.483236e-01 5.529288e-03
2.380000e+04 2.255583e+00 3.481963e-01 1.170470e-02
2.390000e+04 2.254040e+00 3.480105e-01 5.870076e-03
2.400000e+04 2.242842e+00 3.476881e-01 4.136976e-03
2.410000e+04 2.175585e+00 3.470050e-01 3.299487e-03
2.420000e+04 2.194877e+00 3.470690e-01 2.576415e-03
2.430000e+04 2.150930e+00 3.468457e-01 2.859963e-03
2.440000e+04 2.184543e+00 3.466802e-01 2.468907e-03
2.450000e+04 2.221013e+00 3.464527e-01 1.325881e-03
2.460000e+04 2.255927e+00 3.458501e-01 4.540912e-03
2.470000e+04 2.270616e+00 3.456699e-01 5.472702e-03
2.480000e+04 2.262906e+00 3.451464e-01 6.087101e-03
2.490000e+04 2.252648e+00 3.451579e-01 3.512648e-03
2.500000e+04 2.243194e+00 3.448914e-01 1.276297e-03
2.510000e+04 2.180107e+00 3.445302e-01 9.348558e-04
2.520000e+04 2.188081e+00 3.443349e-01 2.931694e-03
2.530000e+04 2.194889e+00 3.443809e-01 4.056721e-03
2.540000e+04 2.214537e+00 3.439030e-01 2.659203e-03
2.550000e+04 2.247377e+00 3.434232e-01 2.221666e-03
2.560000e+04 2.271311e+00 3.432599e-01 1.642709e-03
2.570000e+04 2.210108e+00 3.430963e-01 2.923844e-03
2.580000e+04 2.223417e+00 3.426107e-01 2.488384e-03
2.590000e+04 2.245835e+00 3.423744e-01 9.478022e-03
2.600000e+04 2.346972e+00 3.419430e-01 3.449074e-03
2.610000e+04 2.348136e+00 3.416590e-01 4.009563e-03
2.620000e+04 2.331459e+00 3.412801e-01 2.696114e-03
2.630000e+04 2.303408e+00 3.408691e-01 3.218758e-03
2.640000e+04 2.316699e+00 3.409252e-01 3.349902e-03
2.650000e+04 2.319909e+00 3.405501e-01 9.525275e-03
2.660000e+04 2.346898e+00 3.401845e-01 1.674441e-03
2.670000e+04 2.358773e+00 3.397837e-01 2.015395e-03
2.680000e+04 2.337948e+00 3.393981e-01 3.918615e-03
2.690000e+04 2.381607e+00 3.392891e-01 3.044713e-03
2.700000e+04 2.354882e+00 3.388312e-01 1.569919e-03
2.710000e+04 2.333278e+00 3.385453e-01 1.648296e-03
2.720000e+04 2.247024e+00 3.384050e-01 3.353165e-03
2.730000e+04 2.211496e+00 3.381295e-01 2.583442e-03
2.740000e+04 2.230823e+00 3.377491e-01 4.216579e-03
2.750000e+04 2.259066e+00 3.378303e-01 3.171300e-03
2.760000e+04 2.260992e+00 3.375120e-01 4.273670e-03
2.770000e+04 2.255572e+00 3.371700e-01 4.585256e-03
2.780000e+04 2.306616e+00 3.367563e-01 2.538402e-03
2.790000e+04 2.295161e+00 3.367422e-01 1.697147e-03
2.800000e+04 2.297341e+00 3.363594e-01 1.627708e-03
2.810000e+04 2.339208e+00 3.360649e-01 2.408863e-03
2.820000e+04 2.351329e+00 3.355397e-01 4.434723e-03
2.830000e+04 2.347698e+00 3.355629e-01 2.943877e-03
2.840000e+04 2.340316e+00 3.351544e-01 1.867892e-03
2.850000e+04 2.348637e+00 3.351126e-01 3.948883e-03
2.860000e+04 2.381200e+00 3.346255e-01 2.045923e-03
2.870000e+04 2.408877e+00 3.343485e-01 1.171430e-03
2.880000e+04 2.430076e+00 3.341013e-01 6.409732e-03
2.890000e+04 2.404083e+00 3.341117e-01 2.152099e-03
2.900000e+04 2.386185e+00 3.337116e-01 1.859297e-03
2.910000e+04 2.386914e+00 3.333399e-01 3.620318e-03
2.920000e+04 2.357578e+00 3.329552e-01 1.585377e-03
2.930000e+04 2.356419e+00 3.331142e-01 4.992185e-03
2.940000e+04 2.356928e+00 3.325450e-01 2.408452e-03
2.950000e+04 2.361051e+00 3.322465e-01 9.300363e-04
2.960000e+04 2.377950e+00 3.319957e-01 9.169800e-04
2.970000e+04 2.393308e+00 3.315070e-01 1.677103e-03
2.980000e+04 2.387482e+00 3.312210e-01 3.426677e-03
2.990000e+04 2.404945e+00 3.309756e-01 2.255394e-03
3.000000e+04 2.413988e+00 3.306790e-01 1.743709e-03
3.010000e+04 2.375736e+00 3.304744e-01 7.790764e-04
3.020000e+04 2.381085e+00 3.300778e-01 8.483782e-04
3.030000e+04 2.383424e+00 3.296226e-01 2.658028e-03
3.040000e+04 2.401554e+00 3.294568e-01 2.408729e-03
3.050000e+04 2.419878e+00 3.291925e-01 2.195675e-03
3.060000e+04 2.417282e+00 3.290115e-01 1.116321e-03
3.070000e+04 2.417168e+00 3.285873e-01 1.655812e-03
3.080000e+04 2.425627e+00 3.283480e-01 8.085455e-04
3.090000e+04 2.421952e+00 3.282159e-01 2.311495e-03
3.100000e+04 2.423969e+00 3.278239e-01 3.828759e-03
3.110000e+04 2.425102e+00 3.274702e-01 2.413517e-03
3.120000e+04 2.425112e+00 3.274693e-01 1.574266e-03
3.130000e+04 2.442810e+00 3.270054e-01 2.519070e-03
3.140000e+04 2.454272e+00 3.267443e-01 7.312466e-04
3.150000e+04 2.454139e+00 3.263117e-01 9.076729e-04
3.160000e+04 2.448286e+00 3.258842e-01 2.628084e-03
3.170000e+04 2.449116e+00 3.257316e-01 2.204992e-03
3.180000e+04 2.437219e+00 3.254048e-01 1.227360e-03
3.190000e+04 2.449721e+00 3.253267e-01 2.763026e-03
3.200000e+04 2.430769e+00 3.249854e-01 1.544274e-03
3.210000e+04 2.441044e+00 3.246804e-01 2.439803e-03
3.220000e+04 2.437716e+00 3.244540e-01 1.635384e-03
3.230000e+04 2.433281e+00 3.241480e-01 2.469795e-03
3.240000e+04 2.429981e+00 3.239221e-01 2.746147e-03
3.250000e+04 2.426535e+00 3.237408e-01 7.348095e-04
3.260000e+04 2.455130e+00 3.233706e-01 1.996768e-03
3.270000e+04 2.452800e+00 3.230631e-01 1.702451e-03
3.280000e+04 2.472208e+00 3.226604e-01 1.426733e-03
3.290000e+04 2.448786e+00 3.225080e-01 1.389038e-03
3.300000e+04 2.464073e+00 3.222581e-01 1.186875e-03
3.310000e+04 2.478894e+00 3.219204e-01 8.529046e-04
3.320000e+04 2.479522e+00 3.215606e-01 5.558971e-04
